Application_number,Datum,Popis
2020-38275,18.04.2018,publikace udělení patentu
2020-38275,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38339,21.12.2015,podání přihlášky
2020-38339,21.12.2015,podání žádosti o úplný průzkum
2020-38339,28.06.2017,zveřejnění PV
2020-38339,18.04.2018,publikace udělení patentu
2020-38339,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38350,21.12.2015,podání přihlášky
2020-38350,21.12.2015,podání žádosti o úplný průzkum
2020-38350,28.06.2017,zveřejnění PV
2020-38350,18.04.2018,publikace udělení patentu
2020-38350,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38381,21.12.2015,podání přihlášky
2020-38381,21.12.2015,podání žádosti o úplný průzkum
2020-38381,28.06.2017,zveřejnění PV
2020-38381,18.04.2018,publikace udělení patentu
2020-38381,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38384,21.12.2015,podání přihlášky
2020-38384,21.12.2015,podání žádosti o úplný průzkum
2020-38384,28.06.2017,zveřejnění PV
2020-38384,18.04.2018,publikace udělení patentu
2020-38384,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38698,21.12.2015,podání přihlášky
2021-38698,21.12.2015,podání žádosti o úplný průzkum
2021-38698,28.06.2017,zveřejnění PV
2021-38698,18.04.2018,publikace udělení patentu
2021-38698,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38888,21.12.2015,podání přihlášky
2021-38888,21.12.2015,podání žádosti o úplný průzkum
2021-38888,28.06.2017,zveřejnění PV
2021-38888,18.04.2018,publikace udělení patentu
2021-38888,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38952,21.12.2015,podání přihlášky
2021-38952,21.12.2015,podání žádosti o úplný průzkum
2021-38952,28.06.2017,zveřejnění PV
2021-38952,18.04.2018,publikace udělení patentu
2021-38952,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38973,21.12.2015,podání přihlášky
2021-38973,21.12.2015,podání žádosti o úplný průzkum
2021-38973,28.06.2017,zveřejnění PV
2021-38973,18.04.2018,publikace udělení patentu
2021-38973,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39075,21.12.2015,podání přihlášky
2021-39075,21.12.2015,podání žádosti o úplný průzkum
2021-39075,28.06.2017,zveřejnění PV
2021-39075,18.04.2018,publikace udělení patentu
2021-39075,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39160,21.12.2015,podání přihlášky
2021-39160,21.12.2015,podání žádosti o úplný průzkum
2021-39160,28.06.2017,zveřejnění PV
2021-39160,18.04.2018,publikace udělení patentu
2021-39160,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39162,21.12.2015,podání přihlášky
2021-39162,21.12.2015,podání žádosti o úplný průzkum
2021-39162,28.06.2017,zveřejnění PV
2021-39162,18.04.2018,publikace udělení patentu
2021-39162,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39163,21.12.2015,podání přihlášky
2021-39163,21.12.2015,podání žádosti o úplný průzkum
2021-39163,28.06.2017,zveřejnění PV
2021-39163,18.04.2018,publikace udělení patentu
2021-39163,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39255,21.12.2015,podání přihlášky
2021-39255,21.12.2015,podání žádosti o úplný průzkum
2021-39255,28.06.2017,zveřejnění PV
2021-39255,18.04.2018,publikace udělení patentu
2021-39255,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39310,21.12.2015,podání přihlášky
2021-39310,21.12.2015,podání žádosti o úplný průzkum
2021-39310,28.06.2017,zveřejnění PV
2021-39310,18.04.2018,publikace udělení patentu
2021-39310,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39315,21.12.2015,podání přihlášky
2021-39315,21.12.2015,podání žádosti o úplný průzkum
2021-39315,28.06.2017,zveřejnění PV
2021-39315,18.04.2018,publikace udělení patentu
2021-39315,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39479,21.12.2015,podání přihlášky
2021-39479,21.12.2015,podání žádosti o úplný průzkum
2021-39479,28.06.2017,zveřejnění PV
2021-39479,18.04.2018,publikace udělení patentu
2021-39479,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-39599,21.12.2015,podání přihlášky
2022-39599,21.12.2015,podání žádosti o úplný průzkum
2022-39599,28.06.2017,zveřejnění PV
2022-39599,18.04.2018,publikace udělení patentu
2022-39599,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-39875,21.12.2015,podání přihlášky
2022-39875,21.12.2015,podání žádosti o úplný průzkum
2022-39875,28.06.2017,zveřejnění PV
2022-39875,18.04.2018,publikace udělení patentu
2022-39875,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40145,21.12.2015,podání přihlášky
2022-40145,21.12.2015,podání žádosti o úplný průzkum
2022-40145,28.06.2017,zveřejnění PV
2022-40145,18.04.2018,publikace udělení patentu
2022-40145,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40155,21.12.2015,podání přihlášky
2022-40155,21.12.2015,podání žádosti o úplný průzkum
2022-40155,28.06.2017,zveřejnění PV
2022-40155,18.04.2018,publikace udělení patentu
2022-40155,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40213,21.12.2015,podání přihlášky
2022-40213,21.12.2015,podání žádosti o úplný průzkum
2022-40213,28.06.2017,zveřejnění PV
2022-40213,18.04.2018,publikace udělení patentu
2022-40213,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40214,21.12.2015,podání přihlášky
2022-40214,21.12.2015,podání žádosti o úplný průzkum
2022-40214,28.06.2017,zveřejnění PV
2022-40214,18.04.2018,publikace udělení patentu
2022-40214,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40363,21.12.2015,podání přihlášky
2022-40363,21.12.2015,podání žádosti o úplný průzkum
2022-40363,28.06.2017,zveřejnění PV
2022-40363,18.04.2018,publikace udělení patentu
2022-40363,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40380,21.12.2015,podání přihlášky
2022-40380,21.12.2015,podání žádosti o úplný průzkum
2022-40380,28.06.2017,zveřejnění PV
2022-40380,18.04.2018,publikace udělení patentu
2022-40380,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40524,21.12.2015,podání přihlášky
2022-40524,21.12.2015,podání žádosti o úplný průzkum
2022-40524,28.06.2017,zveřejnění PV
2022-40524,18.04.2018,publikace udělení patentu
2022-40524,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40553,21.12.2015,podání přihlášky
2022-40553,21.12.2015,podání žádosti o úplný průzkum
2022-40553,28.06.2017,zveřejnění PV
2022-40553,18.04.2018,publikace udělení patentu
2022-40553,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40558,21.12.2015,podání přihlášky
2022-40558,21.12.2015,podání žádosti o úplný průzkum
2022-40558,28.06.2017,zveřejnění PV
2022-40558,18.04.2018,publikace udělení patentu
2022-40558,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40566,21.12.2015,podání přihlášky
2022-40566,21.12.2015,podání žádosti o úplný průzkum
2022-40566,28.06.2017,zveřejnění PV
2022-40566,18.04.2018,publikace udělení patentu
2022-40566,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-40836,21.12.2015,podání přihlášky
2023-40836,21.12.2015,podání žádosti o úplný průzkum
2023-40836,28.06.2017,zveřejnění PV
2023-40836,18.04.2018,publikace udělení patentu
2023-40836,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-40902,21.12.2015,podání přihlášky
2023-40902,21.12.2015,podání žádosti o úplný průzkum
2023-40902,28.06.2017,zveřejnění PV
2023-40902,18.04.2018,publikace udělení patentu
2023-40902,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41107,21.12.2015,podání přihlášky
2023-41107,21.12.2015,podání žádosti o úplný průzkum
2023-41107,28.06.2017,zveřejnění PV
2023-41107,18.04.2018,publikace udělení patentu
2023-41107,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41146,21.12.2015,podání přihlášky
2023-41146,21.12.2015,podání žádosti o úplný průzkum
2023-41146,28.06.2017,zveřejnění PV
2023-41146,18.04.2018,publikace udělení patentu
2023-41146,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41190,21.12.2015,podání přihlášky
2023-41190,21.12.2015,podání žádosti o úplný průzkum
2023-41190,28.06.2017,zveřejnění PV
2023-41190,18.04.2018,publikace udělení patentu
2023-41190,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-41748,21.12.2015,podání přihlášky
2024-41748,21.12.2015,podání žádosti o úplný průzkum
2024-41748,28.06.2017,zveřejnění PV
2024-41748,18.04.2018,publikace udělení patentu
2024-41748,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-41999,21.12.2015,podání přihlášky
2024-41999,21.12.2015,podání žádosti o úplný průzkum
2024-41999,28.06.2017,zveřejnění PV
2024-41999,18.04.2018,publikace udělení patentu
2024-41999,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42000,21.12.2015,podání přihlášky
2024-42000,21.12.2015,podání žádosti o úplný průzkum
2024-42000,28.06.2017,zveřejnění PV
2024-42000,18.04.2018,publikace udělení patentu
2024-42000,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42001,21.12.2015,podání přihlášky
2024-42001,21.12.2015,podání žádosti o úplný průzkum
2024-42001,28.06.2017,zveřejnění PV
2024-42001,18.04.2018,publikace udělení patentu
2024-42001,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42002,21.12.2015,podání přihlášky
2024-42002,21.12.2015,podání žádosti o úplný průzkum
2024-42002,28.06.2017,zveřejnění PV
2024-42002,18.04.2018,publikace udělení patentu
2024-42002,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42018,21.12.2015,podání přihlášky
2024-42018,21.12.2015,podání žádosti o úplný průzkum
2024-42018,28.06.2017,zveřejnění PV
2024-42018,18.04.2018,publikace udělení patentu
2024-42018,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42074,21.12.2015,podání přihlášky
2024-42074,21.12.2015,podání žádosti o úplný průzkum
2024-42074,28.06.2017,zveřejnění PV
2024-42074,18.04.2018,publikace udělení patentu
2024-42074,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-42155,21.12.2015,podání přihlášky
2024-42155,21.12.2015,podání žádosti o úplný průzkum
2024-42155,28.06.2017,zveřejnění PV
2024-42155,18.04.2018,publikace udělení patentu
2024-42155,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-449,21.12.2015,podání přihlášky
2015-449,21.12.2015,podání žádosti o úplný průzkum
2015-449,28.06.2017,zveřejnění PV
2015-449,18.04.2018,publikace udělení patentu
2015-449,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-682,21.12.2015,podání přihlášky
2015-682,21.12.2015,podání žádosti o úplný průzkum
2015-682,28.06.2017,zveřejnění PV
2015-682,18.04.2018,publikace udělení patentu
2015-682,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-786,21.12.2015,podání přihlášky
2015-786,21.12.2015,podání žádosti o úplný průzkum
2015-786,28.06.2017,zveřejnění PV
2015-786,18.04.2018,publikace udělení patentu
2015-786,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-937,21.12.2015,podání přihlášky
2015-937,21.12.2015,podání žádosti o úplný průzkum
2015-937,28.06.2017,zveřejnění PV
2015-937,18.04.2018,publikace udělení patentu
2015-937,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-714,21.12.2015,podání přihlášky
2016-714,21.12.2015,podání žádosti o úplný průzkum
2016-714,28.06.2017,zveřejnění PV
2016-714,18.04.2018,publikace udělení patentu
2016-714,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-735,21.12.2015,podání přihlášky
2016-735,21.12.2015,podání žádosti o úplný průzkum
2016-735,28.06.2017,zveřejnění PV
2016-735,18.04.2018,publikace udělení patentu
2016-735,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-819,21.12.2015,podání přihlášky
2016-819,21.12.2015,podání žádosti o úplný průzkum
2016-819,28.06.2017,zveřejnění PV
2016-819,18.04.2018,publikace udělení patentu
2016-819,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-135,21.12.2015,podání přihlášky
2017-135,21.12.2015,podání žádosti o úplný průzkum
2017-135,28.06.2017,zveřejnění PV
2017-135,18.04.2018,publikace udělení patentu
2017-135,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-136,21.12.2015,podání přihlášky
2017-136,21.12.2015,podání žádosti o úplný průzkum
2017-136,28.06.2017,zveřejnění PV
2017-136,18.04.2018,publikace udělení patentu
2017-136,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-258,21.12.2015,podání přihlášky
2017-258,21.12.2015,podání žádosti o úplný průzkum
2017-258,28.06.2017,zveřejnění PV
2017-258,18.04.2018,publikace udělení patentu
2017-258,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-470,21.12.2015,podání přihlášky
2017-470,21.12.2015,podání žádosti o úplný průzkum
2017-470,28.06.2017,zveřejnění PV
2017-470,18.04.2018,publikace udělení patentu
2017-470,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-767,21.12.2015,podání přihlášky
2017-767,21.12.2015,podání žádosti o úplný průzkum
2017-767,28.06.2017,zveřejnění PV
2017-767,18.04.2018,publikace udělení patentu
2017-767,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-788,21.12.2015,podání přihlášky
2017-788,21.12.2015,podání žádosti o úplný průzkum
2017-788,28.06.2017,zveřejnění PV
2017-788,18.04.2018,publikace udělení patentu
2017-788,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-365,21.12.2015,podání přihlášky
2018-365,21.12.2015,podání žádosti o úplný průzkum
2018-365,28.06.2017,zveřejnění PV
2018-365,18.04.2018,publikace udělení patentu
2018-365,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-302,21.12.2015,podání přihlášky
2019-302,21.12.2015,podání žádosti o úplný průzkum
2019-302,28.06.2017,zveřejnění PV
2019-302,18.04.2018,publikace udělení patentu
2019-302,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-366,21.12.2015,podání přihlášky
2019-366,21.12.2015,podání žádosti o úplný průzkum
2019-366,28.06.2017,zveřejnění PV
2019-366,18.04.2018,publikace udělení patentu
2019-366,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-561,21.12.2015,podání přihlášky
2019-561,21.12.2015,podání žádosti o úplný průzkum
2019-561,28.06.2017,zveřejnění PV
2019-561,18.04.2018,publikace udělení patentu
2019-561,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-565,21.12.2015,podání přihlášky
2019-565,21.12.2015,podání žádosti o úplný průzkum
2019-565,28.06.2017,zveřejnění PV
2019-565,18.04.2018,publikace udělení patentu
2019-565,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-723,21.12.2015,podání přihlášky
2019-723,21.12.2015,podání žádosti o úplný průzkum
2019-723,28.06.2017,zveřejnění PV
2019-723,18.04.2018,publikace udělení patentu
2019-723,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-223,21.12.2015,podání přihlášky
2020-223,21.12.2015,podání žádosti o úplný průzkum
2020-223,28.06.2017,zveřejnění PV
2020-223,18.04.2018,publikace udělení patentu
2020-223,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-224,21.12.2015,podání přihlášky
2020-224,21.12.2015,podání žádosti o úplný průzkum
2020-224,28.06.2017,zveřejnění PV
2020-224,18.04.2018,publikace udělení patentu
2020-224,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-692,21.12.2015,podání přihlášky
2020-692,21.12.2015,podání žádosti o úplný průzkum
2020-692,28.06.2017,zveřejnění PV
2020-692,18.04.2018,publikace udělení patentu
2020-692,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-694,21.12.2015,podání přihlášky
2020-694,21.12.2015,podání žádosti o úplný průzkum
2020-694,28.06.2017,zveřejnění PV
2020-694,18.04.2018,publikace udělení patentu
2020-694,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-707,21.12.2015,podání přihlášky
2020-707,21.12.2015,podání žádosti o úplný průzkum
2020-707,28.06.2017,zveřejnění PV
2020-707,18.04.2018,publikace udělení patentu
